model,sequence,AbsRel,RMSE,delta1,TAE
VideoDepthAnything-vits,freiburg1_desk,0.1364,0.6954,0.8982,0.0570
VideoDepthAnything-vits,freiburg2_desk,0.0732,0.4504,0.9599,0.0434
VideoDepthAnything-vits,freiburg3_office,0.0606,0.3041,0.9812,0.0306
VideoDepthAnything-vits,MEDIA,0.0901,0.4833,0.9464,0.0437
DepthCrafter,freiburg1_desk,0.0911,0.3011,0.9595,0.0385
DepthCrafter,freiburg2_desk,0.1032,0.4202,0.9237,0.0431
DepthCrafter,freiburg3_office,0.0711,0.3185,0.9547,0.0330
DepthCrafter,MEDIA,0.0885,0.3466,0.9460,0.0382
ChronoDepth,freiburg1_desk,0.1404,0.5476,0.8747,0.0373
ChronoDepth,freiburg2_desk,0.1779,0.5840,0.7107,0.0189
ChronoDepth,freiburg3_office,0.0843,0.3295,0.9378,0.0169
ChronoDepth,MEDIA,0.1342,0.4870,0.8411,0.0244
